Date,Open,High,Low,Close,Gai,Swing,Volume,Amount
2013/3/25,1.017,1.021,1.007,1.014,-0.59%,1.37%,"296,973,690","301,692,350"
2013/3/26,1.01,1.011,0.988,0.998,-1.58%,2.27%,"123,568,875","123,290,059"
2013/3/27,0.998,1.014,0.997,1.002,0.40%,1.70%,"116,624,668","117,004,843"
2013/3/28,0.995,0.995,0.967,0.971,-3.09%,2.79%,"37,692,488","36,741,860"
2013/3/29,0.972,0.975,0.963,0.969,-0.21%,1.24%,"114,551,106","111,093,359"
2013/4/1,0.965,0.973,0.961,0.97,0.10%,1.24%,"43,745,004","42,340,772"
2013/4/2,0.968,0.981,0.963,0.966,-0.41%,1.86%,"19,657,587","19,095,405"
2013/4/3,0.966,0.974,0.962,0.963,-0.31%,1.24%,"10,851,529","10,517,920"
2013/4/8,0.957,0.961,0.927,0.96,-0.31%,3.53%,"9,201,780","8,770,263"
2013/4/9,0.96,0.974,0.96,0.967,0.73%,1.46%,"15,859,722","15,344,678"
2013/4/10,0.962,0.97,0.96,0.966,-0.10%,1.03%,"3,507,635","3,387,323"
2013/4/11,0.964,0.975,0.961,0.962,-0.41%,1.45%,"6,159,738","5,952,932"
2013/4/12,0.957,0.967,0.954,0.956,-0.62%,1.35%,"5,533,555","5,330,411"
2013/4/15,0.954,0.954,0.942,0.948,-0.84%,1.26%,"1,639,273","1,551,354"
2013/4/16,0.94,0.957,0.937,0.954,0.63%,2.11%,"3,126,986","2,967,371"
2013/4/17,0.954,0.956,0.946,0.956,0.21%,1.05%,"2,894,086","2,753,435"
2013/4/18,0.923,0.96,0.923,0.956,0.00%,3.87%,"2,375,800","2,275,975"
2013/4/19,0.958,0.988,0.958,0.986,3.14%,3.14%,"4,110,217","4,004,782"
2013/4/22,0.985,0.988,0.979,0.983,-0.30%,0.91%,"2,231,340","2,195,285"
2013/4/23,0.981,0.981,0.95,0.953,-3.05%,3.15%,"1,452,964","1,391,500"
2013/4/24,0.953,0.975,0.953,0.97,1.78%,2.31%,"1,600,290","1,537,203"
2013/4/25,0.963,0.973,0.957,0.961,-0.93%,1.65%,"1,211,206","1,169,374"
2013/4/26,0.94,0.964,0.94,0.951,-1.04%,2.50%,"1,386,800","1,331,239"
2013/5/2,0.95,0.958,0.943,0.95,-0.11%,1.58%,"736,360","696,376"
2013/5/3,0.952,0.982,0.952,0.971,2.21%,3.16%,"11,054,454","10,728,593"
2013/5/6,0.971,0.984,0.971,0.98,0.93%,1.34%,"34,675,849","33,957,897"
2013/5/7,0.98,0.986,0.975,0.983,0.31%,1.12%,"44,269,827","43,424,391"
2013/5/8,0.99,0.998,0.983,0.989,0.61%,1.53%,"47,736,298","47,103,975"
2013/5/9,0.985,0.988,0.973,0.983,-0.61%,1.52%,"42,596,125","41,738,220"
2013/5/10,0.98,0.99,0.979,0.987,0.41%,1.12%,"45,200,539","44,509,271"
2013/5/13,0.99,0.99,0.977,0.982,-0.51%,1.32%,"39,363,612","38,715,738"
2013/5/14,0.982,0.983,0.962,0.966,-1.63%,2.14%,"45,728,038","44,309,947"
2013/5/15,0.971,0.975,0.968,0.975,0.93%,0.72%,"43,201,025","41,977,923"
2013/5/16,0.975,0.992,0.967,0.99,1.54%,2.56%,"33,764,191","33,238,933"
2013/5/17,0.994,1.012,0.986,1.007,1.72%,2.63%,"18,166,491","18,150,140"
2013/5/20,0.992,1.024,0.992,1.017,0.99%,3.18%,"12,937,529","13,172,101"
2013/5/21,1.011,1.02,1.011,1.017,0.00%,0.88%,"1,748,244","1,775,845"
2013/5/22,1.012,1.024,1.012,1.019,0.20%,1.18%,"6,039,795","6,154,299"
2013/5/23,1.014,1.022,1.005,1.006,-1.28%,1.67%,"1,902,524","1,929,316"
2013/5/24,1.014,1.015,1.004,1.013,0.70%,1.09%,"2,267,970","2,291,729"
2013/5/27,1.01,1.017,1.009,1.012,-0.10%,0.79%,"4,790,900","4,851,361"
2013/5/28,1.011,1.03,1.008,1.029,1.68%,2.17%,"2,187,375","2,226,330"
2013/5/29,1.034,1.04,1.031,1.031,0.19%,0.87%,"2,010,717","2,078,227"
2013/5/30,1.031,1.036,1.024,1.028,-0.29%,1.16%,"1,568,339","1,614,798"
2013/5/31,1.025,1.033,1.012,1.012,-1.56%,2.04%,"4,894,400","4,990,041"
2013/6/3,1.016,1.023,1.013,1.017,0.49%,0.99%,"700,900","714,172"
2013/6/4,1.017,1.045,1.001,1.005,-1.18%,4.33%,"749,677","753,829"
2013/6/5,1.005,1.006,0.998,1,-0.50%,0.80%,"496,080","496,736"
2013/6/6,0.998,1.001,0.991,0.991,-0.90%,1.00%,"1,179,500","1,175,574"
2013/6/7,0.991,0.995,0.969,0.98,-1.11%,2.62%,"752,600","741,667"
2013/6/13,0.971,0.971,0.931,0.936,-4.49%,4.08%,"9,040,800","8,480,999"
2013/6/14,0.942,0.947,0.939,0.947,1.18%,0.85%,"1,580,931","1,490,576"
2013/6/17,0.952,0.952,0.94,0.942,-0.53%,1.27%,"777,900","734,926"
2013/6/18,0.949,0.951,0.936,0.948,0.64%,1.59%,"8,425,300","7,946,851"
2013/6/19,0.949,0.949,0.928,0.943,-0.53%,2.22%,"301,100","281,862"
2013/6/20,0.934,0.936,0.912,0.918,-2.65%,2.55%,"1,830,700","1,687,106"
2013/6/21,0.91,0.915,0.89,0.907,-1.20%,2.72%,"1,556,622","1,407,961"
2013/6/24,0.915,0.916,0.85,0.907,0.00%,7.28%,"3,467,500","3,011,630"
2013/6/25,0.843,0.88,0.816,0.847,-6.62%,7.06%,"6,214,682","5,155,490"
2013/6/26,0.847,0.858,0.815,0.848,0.12%,5.08%,"5,669,477","4,775,186"
2013/6/27,0.86,0.866,0.845,0.852,0.47%,2.48%,"5,212,111","4,467,799"
2013/6/28,0.85,0.88,0.85,0.865,1.53%,3.52%,"1,280,799","1,104,657"
2013/7/1,0.864,0.871,0.845,0.87,0.58%,3.01%,"844,570","728,472"
2013/7/2,0.87,0.876,0.865,0.873,0.34%,1.26%,"592,700","515,462"
2013/7/3,0.869,0.87,0.855,0.869,-0.46%,1.72%,"384,200","331,135"
2013/7/4,0.859,0.883,0.858,0.873,0.46%,2.88%,"887,390","773,650"
2013/7/5,0.859,0.887,0.859,0.879,0.69%,3.21%,"5,817,300","5,137,534"
2013/7/8,0.879,0.879,0.851,0.857,-2.50%,3.19%,"1,212,700","1,040,802"
2013/7/9,0.858,0.86,0.853,0.86,0.35%,0.82%,"821,400","703,077"
2013/7/10,0.861,0.88,0.853,0.879,2.21%,3.14%,"1,452,200","1,261,352"
2013/7/11,0.89,0.93,0.883,0.922,4.89%,5.35%,"3,006,800","2,740,641"
2013/7/12,0.922,0.922,0.9,0.9,-2.39%,2.39%,"1,241,200","1,130,626"
2013/7/15,0.91,0.92,0.901,0.909,1.00%,2.11%,"1,183,600","1,078,500"
2013/7/16,0.91,0.918,0.901,0.916,0.77%,1.87%,"2,668,800","2,417,752"
2013/7/17,0.919,0.919,0.905,0.906,-1.09%,1.53%,"2,540,499","2,325,404"
2013/7/18,0.9,0.901,0.886,0.889,-1.88%,1.66%,"214,300","191,183"
2013/7/19,0.889,0.895,0.868,0.868,-2.36%,3.04%,"1,039,400","919,508"
2013/7/22,0.858,0.875,0.858,0.87,0.23%,1.96%,"1,100,910","954,078"
2013/7/23,0.875,0.906,0.875,0.896,2.99%,3.56%,"2,499,355","2,229,686"
2013/7/24,0.896,0.898,0.878,0.89,-0.67%,2.23%,"2,178,239","1,930,732"
2013/7/25,0.87,0.909,0.868,0.888,-0.22%,4.61%,"822,764","730,545"
2013/7/26,0.885,0.886,0.877,0.88,-0.90%,1.01%,"351,500","309,011"
2013/7/29,0.872,0.872,0.861,0.861,-2.16%,1.25%,"449,600","389,534"
