date,close
2013-03-15,0.97
2013-03-18,0.954
2013-03-19,0.96
2013-03-20,0.985
2013-03-21,0.995
2013-03-22,0.999
2013-03-25,0.996
2013-03-26,0.986
2013-03-27,0.989
2013-03-28,0.962
2013-03-29,0.963
2013-04-01,0.968
2013-04-02,0.957
2013-04-03,0.951
2013-04-08,0.953
2013-04-09,0.962
2013-04-10,0.959
2013-04-11,0.957
2013-04-12,0.949
2013-04-15,0.932
2013-04-16,0.943
2013-04-17,0.951
2013-04-18,0.954
2013-04-19,0.974
2013-04-22,0.98
2013-04-23,0.952
2013-04-24,0.971
2013-04-25,0.959
2013-04-26,0.943
2013-05-02,0.946
2013-05-03,0.966
2013-05-06,0.983
2013-05-07,0.985
2013-05-08,0.995
2013-05-09,0.995
2013-05-10,1.001
2013-05-13,1.004
2013-05-14,0.993
2013-05-15,1.008
2013-05-16,1.019
2013-05-17,1.033
2013-05-20,1.046
2013-05-21,1.058
2013-05-22,1.05
2013-05-23,1.042
2013-05-24,1.057
2013-05-27,1.067
2013-05-28,1.071
2013-05-29,1.077
2013-05-30,1.08
2013-05-31,1.076
2013-06-03,1.069
2013-06-04,1.047
2013-06-05,1.051
2013-06-06,1.032
2013-06-07,1.013
2013-06-13,0.984
2013-06-14,1.006
2013-06-17,1.006
2013-06-18,1.009
2013-06-19,1.005
2013-06-20,0.973
2013-06-21,0.966
2013-06-24,0.908
2013-06-25,0.904
2013-06-26,0.922
2013-06-27,0.906
2013-06-28,0.908
2013-07-01,0.925
2013-07-02,0.942
2013-07-03,0.942
2013-07-04,0.95
2013-07-05,0.946
2013-07-08,0.911
2013-07-09,0.914
2013-07-10,0.943
2013-07-11,0.971
2013-07-12,0.963
2013-07-15,0.98
2013-07-16,0.992
2013-07-17,0.979
2013-07-18,0.977
2013-07-19,0.955
2013-07-22,0.973
2013-07-23,0.996
2013-07-24,1.001
2013-07-25,0.984
2013-07-26,0.982
2013-07-29,0.962
2013-07-30,0.957
2013-07-31,0.963
2013-08-01,0.99
2013-08-02,0.992
2013-08-05,1.009
2013-08-06,1.019
2013-08-07,1.006
2013-08-08,1.008
2013-08-09,1.013
2013-08-12,1.031
2013-08-13,1.035
2013-08-14,1.03
2013-08-15,1.017
2013-08-16,0.995
2013-08-19,1.012
2013-08-20,1.006
2013-08-21,1.013
2013-08-22,1.018
2013-08-23,1.015
2013-08-26,1.037
2013-08-27,1.045
2013-08-28,1.039
2013-08-29,1.039
2013-08-30,1.028
2013-09-02,1.03
2013-09-03,1.05
2013-09-04,1.049
2013-09-05,1.055
2013-09-06,1.063
2013-09-09,1.071
2013-09-10,1.08
2013-09-11,1.076
2013-09-12,1.07
2013-09-13,1.073
2013-09-16,1.072
2013-09-17,1.069
2013-09-18,1.072
2013-09-23,1.093
2013-09-24,1.093
2013-09-25,1.095
2013-09-26,1.082
2013-09-27,1.076
2013-09-30,1.099
2013-10-08,1.103
2013-10-09,1.116
2013-10-10,1.111
2013-10-11,1.128
2013-10-14,1.139
2013-10-15,1.142
2013-10-16,1.11
2013-10-17,1.102
2013-10-18,1.113
2013-10-21,1.14
2013-10-22,1.129
2013-10-23,1.101
2013-10-24,1.097
2013-10-25,1.068
2013-10-28,1.066
2013-10-29,1.037
2013-10-30,1.054
2013-10-31,1.042
2013-11-01,1.038
2013-11-04,1.043
2013-11-05,1.057
2013-11-06,1.049
2013-11-07,1.033
2013-11-08,1.018
2013-11-11,1.022
2013-11-12,1.03
2013-11-13,1.013
2013-11-14,1.025
2013-11-15,1.047
2013-11-18,1.071
2013-11-19,1.076
2013-11-20,1.087
2013-11-21,1.083
2013-11-22,1.077
2013-11-25,1.073
2013-11-26,1.077
2013-11-27,1.088
2013-11-28,1.099
2013-11-29,1.104
2013-12-02,1.057
2013-12-03,1.08
2013-12-04,1.1
2013-12-05,1.1
2013-12-06,1.098
2013-12-09,1.105
2013-12-10,1.105
2013-12-11,1.094
2013-12-12,1.096
2013-12-13,1.098
2013-12-16,1.079
2013-12-17,1.072
2013-12-18,1.07
2013-12-19,1.062
2013-12-20,1.048
2013-12-23,1.046
2013-12-24,1.052
2013-12-25,1.065
2013-12-26,1.046
2013-12-27,1.063
2013-12-30,1.066
2013-12-31,1.071
2014-01-02,1.077
2014-01-03,1.07
2014-01-06,1.04
2014-01-07,1.044
2014-01-08,1.045
2014-01-09,1.035
2014-01-10,1.015
2014-01-13,1.01
2014-01-14,1.028
2014-01-15,1.034
2014-01-16,1.04
2014-01-17,1.026
